"name","overallRating","responseRate","responseTime","revBased","numProierties","url","location","pID"
"Q903","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/ogunquit-vacation-rentals/p145/","Q903            Ogunquit, Maine","p145"
"Y741","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/york-vacation-rentals/p221030/","Y741            York, Maine","p221030"
"W108","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/wells-vacation-rentals/p206/","W108            Wells, Maine","p206"
"Q917","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/ogunquit-vacation-rentals/p149/","Q917            Ogunquit, Maine","p149"
"Q965-A","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/ogunquit-vacation-rentals/p98352/","Q965-A            Ogunquit, Maine","p98352"
"Q*******","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/ogunquit-vacation-rentals/p90173/","Q*******            Ogunquit, Maine","p90173"
"Y674","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/york-cottage-rentals/p243/","Y674            York, Maine","p243"
"EW129","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/wells-vacation-rentals/p722257/","EW129            Wells, Maine","p722257"
"Y770-A","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/york-vacation-rentals/p557413/","Y770-A            York, Maine","p557413"
"Y800-3","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/york-vacation-rentals/p702257/","Y800-3            York, Maine","p702257"
"Y818","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/york-vacation-rentals/p1803798/","Y818            York, Maine","p1803798"
"Ocean Edge Upper Level, Affordable & Nice with A/C - EA0659","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-vacation-rentals/p2570227/","Ocean Edge Upper Level, Affordable & Nice with A/C - EA0659            Brewster, Massachusetts","p2570227"
"Y220-12C","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/york-vacation-rentals/p557417/","Y220-12C            York, Maine","p557417"
"EW123","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/wells-vacation-rentals/p680375/","EW123            Wells, Maine","p680375"
"W101","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/wells-cottage-rentals/p94663/","W101            Wells, Maine","p94663"
"EW101","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/wells-vacation-rentals/p660819/","EW101            Wells, Maine","p660819"
"EW128","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/wells-vacation-rentals/p1478895/","EW128            Wells, Maine","p1478895"
"Y331","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/york-cottage-rentals/p271/","Y331            York, Maine","p271"
"EW114","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/wells-vacation-rentals/p645820/","EW114            Wells, Maine","p645820"
"EW110","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/wells-vacation-rentals/p645818/","EW110            Wells, Maine","p645818"
"EW119","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/wells-vacation-rentals/p688491/","EW119            Wells, Maine","p688491"
"EW117","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/wells-vacation-rentals/p722251/","EW117            Wells, Maine","p722251"
"EW112","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/wells-vacation-rentals/p762265/","EW112            Wells, Maine","p762265"
"EW122","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/wells-vacation-rentals/p722254/","EW122            Wells, Maine","p722254"
"Y816","4.1 / 5.0","n/a","n/a","7","68","https://www.flipkey.com/cape-neddick-vacation-rentals/p1375983/","Y816            Cape Neddick, Maine","p1375983"
"Waterviews of Lower Mill Pond with private dock - BR0126","4.3 / 5.0","5%","Within a day","51","127","https://www.flipkey.com/brewster-vacation-rentals/p1571/","Waterviews of Lower Mill Pond with private dock - BR0126            Brewster, Massachusetts","p1571"
"ORLEANS HISTORIC 1860'S ANTIQUE HOME WITH ORIGINAL FEATURES AND CHARM","4.6 / 5.0","n/a","n/a","46","91","https://www.flipkey.com/east-orleans-vacation-rentals/p381251/","ORLEANS HISTORIC 1860'S ANTIQUE HOME WITH ORIGINAL FEATURES AND CHARM            East Orleans, Massachusetts","p381251"
